zw,Please select your battalion,What is your time in service?,"Have you completed a mobilization or deployment? (SAD, Title 10, Title 32, etc.)",If you are deploying in the next twelve months do you have any questions or concerns regarding an upcoming deployment?,Have you used any form of educational assistance?,"If ""yes"" what educational benefits have you utilized and have you had any issues utilizing them?",Are you aware of the 211 resource?,Have you had any pay issues to include bonuses not being paid in a timely manner?,Do you feel like your leadership is competent and interested in your development as a soldier and civilian?,Would you be interested in extending or re-enlisting?,Would you be interested in re-enlisting or extending if you were at a different unit?,Would you be interested in re-enlisting or extending if you could acquire a new MOS?,Do you feel valued at your unit?,What made you join the Army National Guard?,What has changed over the course of your enlistment that may have negatively impacted your desire to stay in? ,"In as much detail as you would like, please explain why you are, or are not interested in extending or re-enlisting.",What changes would you make to improve the morale of soldiers within your company or battlion?,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Have you attended any military schools other than your initial entry training?,"If ""No"" please elaborate on what would make you feel like a more valued asset to the team."
2/7/2025 13:52:47,X6SF3 (529th BN),Greater than 3 years but less than 6,No,N/A,Yes,Montgomery ,No,No,Yes,No,No,No,Yes,Wanted to serve my country and do my part in exchange for the privilege to reside in this great nation. ,"I enjoy being an MP but, we do not do MP functions at the national guard level. ",I am wanting to focus on my civilian career and advance there. ,Do MP functions at a military base. ,,,,,,,No,
2/7/2025 13:52:52,X6SF3 (529th BN),Greater than 3 years but less than 6,No,No,Yes,State Tuition Assistance,No,No,Yes,No,No,No,Yes,"Benefits, Career Progression ",More responsibility and getting burnt out,I realized it’s just not for me.,Better communication,,,,,,,Yes,
2/7/2025 13:59:33,PE1AA (229th Engineer),Greater than 3 years but less than 6,Yes,,Yes,Army TA,No,Yes,No,No,No,No,No,Because I supported the US but realized people are selfish ,"End of Orders, demoted due to AWOL when on Parental Leave",Unit does not care about there soldiers like they said they do,Actually help soldiers rather than just talk.,,,,,,,No,If I got kicked out the Army.
2/7/2025 14:13:34,8FUAA (183rd RTI),Greater than 12 years,Yes,None,Yes,State and federal TA ,No,No,Yes,Yes,I am happy at my current unit,Yes,Yes,Service to nation after 9/11,None ,Want to continue my military service ,None ,,,,,,,Yes,
2/7/2025 14:15:35,P1XAA (276th EN),Greater than 3 years but less than 6,No,No,No,,No,No,No,No,No,No,No,Serve my state and country,"Common sense, lack of leadership skills, lack of communication and commitment to soldiers",Same as above,Full commitment and care of soldiers rather than saying it. Actions are better than words,,,,,,,Yes,"More valuable training, leadership, common sense"
2/7/2025 14:20:31,PHMAA (111th FA BN),Greater than 6 years but less than 12,No,No,Yes,"Post 9/11 GI Bill, No.",No,No,Yes,Yes,I am happy at my current unit,I am happy in my current MOS,Yes,Family Tradition (Military Service),N/A,N/A,No issues.,,,,,,,Yes,Not applicable. 
2/7/2025 14:23:26,P1XAA (276th EN),Greater than 12 years,Yes,No,Yes,Post 911,No,No,Yes,Yes,I am happy at my current unit,Yes,Yes,Prior Service,Nothing,I’m at year 18,Nothing,,,,,,,Yes,
2/7/2025 14:28:32,PHMAA (111th FA BN),Greater than 3 years but less than 6,No,,No,,No,No,Yes,No,No,No,Yes,"Money, School, Experience, Wanted to serve in some way.","Nothing, always planned to one and done.",One and done.,I'm happy with the unit. ,,,,,,,No,
2/7/2025 14:49:51,PHMAA (111th FA BN),Greater than 6 years but less than 12,Yes,,No,,No,No,No,Undecided,I am happy at my current unit,Yes,Yes,I got out of active duty from the Marine Corps and still wanted to serve. ,I belive the unit needs to get better tactically. ,"If Ican get my BLC constructive packet pushed up and preferably approved and then go warrant, I will sign for 3/4 year contract- Sgt Hicks HHB TAP",Better communication between Mday and AGR,,,,,,,Yes,
2/7/2025 15:08:33,X6TAA (329th HHC),Greater than 3 years but less than 6,Yes,No,No,,Yes,No,No,Undecided,I am happy at my current unit,Yes,Yes,Self betterment ,Leaders poor decisions ,I am interested is re enlisting because I would like to eventually become full time and retire ,I would find leaders who have lived the life of the enlisted under them and find officers who know what the job entails that they task there Joes with. And find leaders who are sympathetic to what situations there soldiers are in ,,,,,,,Yes,
2/7/2025 15:10:25,PE1AA (229th Engineer),Greater than 6 years but less than 12,Yes,,No,,No,No,Yes,Undecided,I am happy at my current unit,I am happy in my current MOS,Yes,Wanted to stay in after active duty ,Admin that kept me from transferring ,"I'm trying to get deployed, if I can get that I'll heavily consider reenlisting",More school opportunities,,,,,,,Yes,
2/7/2025 15:12:19,PE1AA (229th Engineer),Greater than 6 years but less than 12,Yes,,Yes,,No,Yes,No,Undecided,Yes,Yes,No,"School, and extended because of service",Lack of a reason to stay,I'm not interested because I feel like I'm simply wasting time instead spending it with friends and family,"Eliminate pay issue possibilities, and make best use of time",,,,,,,Yes,
2/7/2025 15:12:42,PE1AA (229th Engineer),Greater than 6 years but less than 12,Yes,No ,Yes,STA and FTA,No,No,Yes,No,No,No,Yes,I wanted to serve my country and acquire job experience.,The benefits offered by the guard aren’t worth it anymore. ,It is a smarter move for me to ETS vs remain in the Guard.,Better platoon level leadership and less restrictive training in my MOS.,,,,,,,Yes,
2/7/2025 15:12:50,PE1AA (229th Engineer),Less than 3 years,No,,Yes,"TA, no",No,No,Yes,Undecided,I am happy at my current unit,I am happy in my current MOS,Yes,Benefits ,N/A,I would like to lead a life with no further obligations to the Army.,More planning events ahead of time and pushing out mission critical information more in advance to go time. ,,,,,,,No,
2/7/2025 15:20:28,PE1AA (229th Engineer),Greater than 6 years but less than 12,Yes,,No,,No,No,Yes,Yes,Yes,Yes,Yes,Professional development and healthcare.,Inability to do my most (35N),I am only interested in transferring to the reserves. The Guard lacks infrastructure for what 35Ns need and it lacks a mission for 35Ns to improve in their skills. There's also a lack of schools outside of AIT related to our MOS. ,"1. Get a MOU/organizational level relationship with other units to give soldiers time doing actual missions. It doesn't have to be a full deployment, it could be advanced skills school, CONUS augmentation, split trainings, or information exchanges.

2. Stop pairing bn box check drills with mi training drills. ",,,,,,,Yes,
2/7/2025 15:21:15,P1XAA (276th EN),Greater than 12 years,Yes,No,Yes,Post 9/11,No,No,Yes,Yes,Yes,I am happy in my current MOS,Yes,Deployment ,Kuwait ,More money ,More deployments,,,,,,,Yes,
2/7/2025 15:29:23,PHMAA (111th FA BN),Greater than 12 years,Yes,Not planning on deploying. Only have 2 years left on contract.,Yes,GI bills. ,No,No,No,No,Yes,I am happy in my current MOS,No,Wanted to serve my Country. ,"Lack of resources (broken down trucks, limited and outdated equipment). Toxic leadership in the 111th.",See answer above. Also I have moved and current drive to drill in 3.5-4 hours. Unit does not allow lodging in kind since they reserve barracks at SMR which would add an additional 45 minutes to my drive.,Give them time to train on their MOS specific tasks instead of constantly PMCSing broken vehicles.,,,,,,,Yes,Leadership doesn't ask for input. CONOPs for drills are sent week of drill. Mentality is to just try to do everything because everything is a priority. Mo time to property train lower enlisted on MOS tasks dues to lack of resources and support (few AGRs so they are overwhelmed). Commander doesn't seem to care and just piles on more work even outside of drill weekends.
2/7/2025 15:41:30,PE1AA (229th Engineer),Greater than 3 years but less than 6,No,No,Yes,tuition assistance ,No,No,Yes,Yes,I am happy at my current unit,I am happy in my current MOS,Yes,School and other benefits,nothing negative,I am extending for further experience and benefits that will help me in the future,Nothing I know as of right now,,,,,,,No,
2/7/2025 16:05:30,PHMAA (111th FA BN),Greater than 12 years,Yes,,No,,Yes,Yes,No,Undecided,Yes,Yes,No,I wasn't going to start college courses and needed to find direction in my life at 18.,The difference in lower enlisted soldiers coming into units with a sense of entitlement when it comes to how they are addressed. The lack of Leadership and proper standards being upheld accross the unit.,"The 1-111th has been the bane of my existence since 2017. Pay issues, lack of discipline, lack of competent leadership on the M-day. It's culminating to a toxic environment where NCOs have no control and PLs are thrown into metaphorical dumpster fires to figure it out for themselves without proper support.",Proper working equipment and an AGR staff that can handle the payload thrown at them. It seems that things that could be alleviated on the active side aren't due to lack of abilities and limits on staffing.,,,,,,,Yes,"When NCOs bring up significant issues that effect the readiness of the unit, the issues should be alleviated in a timely manner and have COAs attached as to how they will be taken on."
2/7/2025 16:34:00,ZGEAA (429th BN),Greater than 6 years but less than 12,No,,Yes,,Yes,No,Yes,No,No,No,Yes,Pay for school ,The lack of passion and support for lower enlisted soldiers ,Need something new/different ,Better communication ,,,,,,,No,
2/7/2025 16:34:00,ZGEAA (429th BN),Greater than 3 years but less than 6,Yes,No,No,,No,No,No,Undecided,Yes,I am happy in my current MOS,Yes,I come from a military background and wanted to also use the benefits ,My motivation ,Only reason why I would not be interested is because of my health ,Work harder and put more effort into learning my mos,,,,,,,No,
2/7/2025 16:42:23,ZGEAA (429th BN),Greater than 6 years but less than 12,Yes,No,Yes,I used VA tuition Assistance ,No,No,Yes,Yes,I am happy at my current unit,I am happy in my current MOS,Yes,School and resources that can be used outside the national guard,No,I am extending for potential security clearance and schooling,Team work Accountability Dedication to one’s self,,,,,,,No,
2/7/2025 16:42:31,ZGEAA (429th BN),Greater than 6 years but less than 12,Yes,No,Yes,I used VA tuition Assistance ,No,No,Yes,Yes,I am happy at my current unit,I am happy in my current MOS,Yes,School and resources that can be used outside the national guard,No,I am extending for potential security clearance and schooling,Team work Accountability Dedication to one’s self,,,,,,,No,
2/7/2025 16:43:22,ZGEAA (429th BN),Less than 3 years,No,No,Yes,TA,No,Yes,Yes,Yes,Yes,Yes,Yes,To serve and protect ,N/A,N/A,All ready NCO should take account of their soldiers.,,,,,,,No,
2/7/2025 17:28:35,PE1AA (229th Engineer),Less than 3 years,No,No,Yes,Gi bill,No,No,Yes,Yes,Yes,Yes,Yes,Life,Unnecessary work,N/a,No having us stay to eat food they cooked so late in the day ,,,,,,,No,
2/7/2025 17:31:06,PHMAA (111th FA BN),Less than 3 years,No,No,Yes,No issues,No,Yes,No,No,No,No,No,Desire to serve,Desire to start a family and not spend time away from them. ,My spouse and I want to start our family.,Stop wasting soldiers time. Make a realistic timeline and stick to it. Utilize hip pocket training when unexpected hiccups occur in the plan. ,,,,,,,No,Stop interrupting people when they’re talking
2/7/2025 17:51:29,PHMAA (111th FA BN),Greater than 12 years,Yes,Would like an early warning to prep my civilian contractor job and set a theater/mission specific training regiment for my soldiers. ,Yes,State and federal TA with GI bill. No major issues.,No,No,Yes,Yes,I am happy at my current unit,I am happy in my current MOS,Yes,To be a part of the Army mission.,"Poor deployment staffing that led to over 6 months of no days off, which could have been easily mitigated at the O3 level.",Will extend until I have reached 20 years in service.,"OP orders for every event sent out to every soldier at least a week prior to training, fragos after needed changes of course would be appropriate. Greatly limit non MOS specific training with the exception of marksmanship and basic soldiering skills. If not invasive to important training, conduct classes on the big army picture and army directives that should point soldiers in the right direction to training for the mission not checks in boxes. ",,,,,,,Yes,
2/7/2025 18:01:11,PHMAA (111th FA BN),Greater than 3 years but less than 6,No,,Yes,"Federal TA, no",No,No,No,No,No,No,No,School,Disorganized unit,The combination of civilian life and having to drop everything to do a 4 day drill is something I would rather not do for years. I would rather not deploy with this unit as well ,"Becoming less disorganized, valuing lower enlisted & treating them better. Stop promoting people who aren’t suited to fit the position. Be better with accommodating soldiers with their civilian life.",,,,,,,No,"I’m lower enlisted, only follow orders "
2/7/2025 18:16:25,UAXAA (224th Aviation),Greater than 3 years but less than 6,Yes,,No,,No,Yes,Yes,No,No,No,Yes,Experience ,Mandatory vaccinations,I want the freedom to do as I please ,Higher quality food at dining facilities ,,,,,,,No,
2/7/2025 18:55:07,PE1AA (229th Engineer),Less than 3 years,No,,Yes,Army ignited ,No,Yes,Yes,Yes,Yes,I am happy in my current MOS,Yes,Educational benefits,Not much,Wanting to go to the cyber brigade and air assault school and make the most of my opportunity.,Think positive about everything you do and encourage yourself to become batter for those around you more than on yourself.,,,,,,,No,
2/7/2025 19:22:37,PHMAA (111th FA BN),Greater than 3 years but less than 6,Yes,,No,,No,No,Yes,Undecided,Yes,Yes,Yes,Life ,This unit ,Because this unit has so many problems with everything not just one thing. ,Let things make sense and if your AGR SGTs have a solution don’t shut them down. It’s an inconvenience for us Mday soldiers ,,,,,,,Yes,
2/7/2025 19:24:35,PE1AA (229th Engineer),Greater than 6 years but less than 12,Yes,No,Yes,GI bill,No,No,Yes,Yes,I am happy at my current unit,Yes,Yes,Military family ,N/a,I enjoy the job,N/a,,,,,,,Yes,N/a
2/7/2025 20:10:22,PHPAA (1-116th INF BN),Greater than 3 years but less than 6,Yes,,No,,No,No,Yes,No,No,No,Yes,Childhood dream. Wanted combat deployment ,People deployed with left,I have a different career I want to chase instead of military ,Better preparation before leaving home station ,,,,,,,No,
2/7/2025 20:23:11,ZGEAA (429th BN),Greater than 3 years but less than 6,No,,No,,No,No,Yes,Undecided,I am happy at my current unit,Yes,Yes,Student loan repayment and military school,Assholes,Undecided ,Not taking in every asshole off the street,,,,,,,No,
2/7/2025 21:24:56,ZGEAA (429th BN),Greater than 6 years but less than 12,No,N/A,Yes,"GI Bill, Federal TA, State TA. State TA requires two years left on contract and that causes issues",No,No,No,No,I am happy at my current unit,Yes,Yes,Educational Benefits,I reinlisted to reclass and still was denied a reclass school and there are no more available ,Soldier care.,Not reinlist,,,,,,,No,N/A
2/7/2025 23:47:55,PHMAA (111th FA BN),Greater than 6 years but less than 12,Yes,No,No,,No,No,No,No,Yes,Yes,No,Insurance ,Working conditions with little or no food,The unit doesn’t care,Maybe not doing table V at 0001 after we’ve been up all day,,,,,,,Yes,
2/8/2025 8:16:33,PHMAA (111th FA BN),Greater than 3 years but less than 6,Yes,Yes- mental preparation ,No,,No,No,Yes,Yes,Yes,Yes,No,Quality of life,"Leadership, personal reasons ",Life,Not sure,,,,,,,No,I’m just another soldier. Just AGR now.
2/8/2025 8:44:26,XA3AA (1-116th 3rd BN),Greater than 12 years,Yes,N/A,Yes,Federal and State TA,No,No,Yes,No,I am happy at my current unit,I am happy in my current MOS,Yes,9/11,N/A - Retiring,Retiring,Less OP Tempo over AT - 3 and 4 week ATs are killing the Guard. ,,,,,,,Yes,
